,order_id,duty,driver_id,product_id,city_id,normal_distance,gmv,is_anycar,team_id,biz_status,sp_flag,is_valid,driver_grade,avg_d_five_star,avg_d_becompliant,avg_d_compliant,apr_uid,dif_birth_time,dif_work_time,os_type
0,17619635403306.0,1,565344622611133.0,3,23,7.8,23.89,0,1,1,1,1,6,2.333333333,0.095238095,0.14285714300000002,735964.0,18.42300926,1004.486655,new_sys
1,17619704195577.0,1,567950046657114.0,3,38,10.6,29.62,0,1,1,1,1,6,2.238095238,0.0,0.0,736082.0,17.52667824,577.6393171,new_sys
2,17619723260462.0,1,565166575723727.0,3,5,26.1,83.28,0,1,1,1,1,6,1.0625,0.125,0.4375,736078.0,17.34346065,1037.505764,new_sys
3,17619850411547.0,1,566254575813493.0,3,5,5.4,16.32,0,1,1,1,0,7,2.5,0.083333333,0.0,735964.0,16.10478009,896.9993056,new_sys
4,17619889628531.0,1,580542268307790.0,3,23,8.9,26.87,0,1,1,1,0,6,2.6956521739999997,0.043478261,0.0,173830.0,15.54040509,418.1103819,old_sys
5,17619893032734.0,1,567950075021503.0,3,9,5.5,15.91,0,1,1,1,0,6,1.764705882,0.176470588,0.058823529000000006,734382.0,15.51070602,209.306331,new_sys
6,17619944959074.0,1,564890335192001.0,3,5,9.5,31.35,0,1,1,1,1,6,0.916666667,0.0,0.0,736056.0,15.12068287,1008.5633449999999,new_sys
7,17619982941191.0,1,580542250323367.0,1,23,3.2,10.0,0,1,1,1,0,5,1.0,0.0,0.0,721982.0,14.53100694,433.35285880000004,new_sys
8,17619985468605.0,1,580542479110418.0,3,23,2.1,10.5,0,1,1,1,0,6,2.666666667,0.0,0.0,734362.0,14.51263889,192.5127083,new_sys
9,17619990793731.0,1,580542302844856.0,3,11,3.3,11.55,0,3,1,1,0,6,2.272727273,0.045454545,0.0,734444.0,14.46850694,166.49208330000002,new_sys
10,17620001798229.0,1,563138898042881.0,3,2,16.8,57.6,0,3,1,1,1,6,0.5,0.25,0.0,735978.0,14.38494213,1390.291227,new_sys
11,17620011621956.0,1,565315665993291.0,3,23,13.4,42.23,0,1,1,1,1,6,2.166666667,0.0,0.0,736044.0,14.312453699999999,1004.585567,new_sys
12,17620013965839.0,1,580542481561052.0,3,11,8.7,32.64,0,3,1,1,0,6,2.076923077,0.0,0.0,736040.0,14.29759259,163.70651619999998,new_sys
13,17620015256057.0,1,565715783847500.0,3,23,2.8,10.84,0,1,1,1,1,6,2.6,0.04,0.0,734442.0,14.289421300000003,935.4843056,new_sys
14,17620041078375.0,1,563531969273856.0,3,2,30.4,126.6,0,1,1,1,0,6,1.6875,0.0,0.0,718586.0,14.138391199999997,1266.4408449999999,new_sys
15,17620048199977.0,1,565434038101269.0,3,2,4.6,20.36,0,3,1,1,1,6,1.2,0.0,0.1,718576.0,14.09655093,990.2722454,new_sys
16,17620048675983.0,1,567950137027568.0,3,47,6.5,18.04,0,1,1,1,0,6,1.636363636,0.045454545,0.0,722008.0,14.09329861,643.5298032000001,new_sys
17,17620054253931.0,1,563415710048256.0,3,5,13.6,40.34,0,1,1,1,0,6,1.5384615380000002,0.0,0.0,734380.0,14.05768519,323.4654977,new_sys
18,17620060106451.0,1,567950013642272.0,3,2,5.6,26.04,0,3,1,1,0,6,1.466666667,0.0,0.066666667,736058.0,14.01206019,444.52326389999996,new_sys
19,17620061453571.0,1,564720223061162.0,3,5,31.4,126.22,0,3,1,1,1,6,0.666666667,0.055555556,0.611111111,735954.0,14.00037037,1113.5917359999999,new_sys
20,17620083232419.0,1,565100865912947.0,3,9,2.4,9.2,0,1,1,1,0,6,1.47826087,0.17391304300000002,0.434782609,173836.0,13.68163194,309.3393403,old_sys
21,17620084754704.0,1,580542496694194.0,3,5,3.0,12.0,1,3,1,1,0,6,1.076923077,0.153846154,0.0,173830.0,13.65813657,179.6951736,old_sys
22,17620085013422.0,1,580542230962300.0,3,2,2.1,13.0,0,3,1,1,0,6,1.529411765,0.058823529000000006,0.0,722012.0,13.65292824,488.5327199,new_sys
23,17620093013493.0,1,580542187006428.0,3,2,8.2,27.8,0,3,1,1,0,6,1.6818181819999998,0.090909091,0.045454545,734444.0,13.56530093,508.56866900000006,new_sys
24,17620095823204.0,1,563832764108805.0,3,5,9.9,30.97,0,3,1,1,1,6,1.277777778,0.055555556,0.0,718576.0,13.53986111,1272.551123,new_sys
25,17620098515342.0,1,564491986674154.0,3,35,6.2,16.5,0,1,7,1,1,6,2.64,0.04,0.24,718572.0,13.51643519,1056.529688,new_sys
26,17620101421755.0,1,565645061139233.0,3,2,17.9,55.12,0,1,1,1,1,6,1.2,0.0,0.0,173830.0,13.49524306,680.3602199,old_sys
27,17620103380314.0,1,580542178680489.0,3,85,6.0,34.6,0,1,1,1,0,6,2.0625,0.0625,0.0,736058.0,13.48084491,514.5784606000001,new_sys
28,17620103648192.0,1,566506135102447.0,3,23,7.0,20.15,0,1,1,1,0,7,3.714285714,0.0,0.0,718576.0,13.47980324,896.9993056,new_sys
29,17620103755179.0,1,563300888289281.0,3,5,4.8,21.99,1,3,1,1,1,6,1.7,0.05,0.0,736058.0,13.47814815,1345.338843,new_sys
30,17620103938002.0,1,580542234563102.0,3,23,4.9,19.69,0,1,1,1,0,6,2.055555556,0.0,0.0,736052.0,13.47650463,480.5102778,new_sys
31,17620106043845.0,1,564829127708256.0,3,38,4.2,13.92,0,1,1,1,1,6,2.4,0.0,0.05,736054.0,13.45989583,680.3852315,new_sys
